Protein_name,Gene_name,Feature_name,UP_accession,Biofilm_NTS,Planktonic_NTS,Ratio
High-affinity iron permease,FTR1,CAALFM_C114130WA,A0A1D8PFV0,1.81,0.57,3.15
Csh1p,CSH1,CAALFM_C104020CA,Q59QH2,17.67,5.62,3.14
Ornithine-oxo-acid transaminase,CAR2,CAALFM_C400160CA,A0A1D8PL14,14.43,4.6,3.14
Peptidyl-prolyl cis-trans isomerase (PPIase),CYP5,CAALFM_C306360CA,A0A1D8PKL0,10.66,3.45,3.09
Extracellular glycosidase,CRH11,CaO19.10221,Q5AFA2,37.77,12.65,2.99
Karyopherin beta,,CAALFM_C102240WA,Q59VX7,4.16,1.41,2.96
Alpha-mannosidase,AMS1,CAALFM_C402360WA,Q5AF38,16.55,5.62,2.94
Citrate synthase,CIT1,CAALFM_CR03500WA,A0A1D8PSH3,15,5.17,2.9
Metalloaminopeptidase,LAP41,CAALFM_C302170CA,A0A1D8PJE0,9.81,3.45,2.84
Cell wall acid trehalase,ATC1,CaO19.13595,Q5AAU5,15.92,5.62,2.83
Ecm33p,ECM33,CAALFM_C103190CA,A0A1D8PCY4,98.54,35.06,2.81
Putative ammonium permease,FRP3,CAALFM_C206680WA,A0A1D8PHP8,1.6,0.57,2.78
Sfc1p,SFC1,CAALFM_C504440CA,A0A1D8PNY6,1.59,0.57,2.76
Proteasome endopeptidase complex,PRE6,CAALFM_CR04550WA,A0A1D8PSS4,3.16,1.15,2.75
Uncharacterized protein,,CAALFM_CR03520CA,A0A1D8PSI3,1.54,0.57,2.68
Proteasome endopeptidase complex,PRE5,CAALFM_C704020CA,A0A1D8PRH6,1.54,0.57,2.67
Superoxide dismutase,SOD3,CAALFM_C700110WA,A0A1D8PQH5,4.6,1.72,2.67
Corticosteroid-binding protein,CBP1,CaO19.7323,P31225,7.44,2.81,2.65
Msb2p,MSB2,CAALFM_C201780WA,A0A1D8PGF8,44.11,16.67,2.65
Putative glucan endo-1\3-beta-D-glucosidase,SCW11,CAALFM_C504110WA,A0A1D8PNW1,35.85,13.79,2.6
Lysophospholipase,PLB4.5,CAALFM_C201380WA,A0A1D8PGF0,50.69,19.54,2.59
Sortilin,PEP1,CAALFM_C112490WA,A0A1D8PFH5,11.7,4.6,2.54
Scw4p,SCW4,CAALFM_C102520WA,Q5AIB2,10.22,4.22,2.42
"1,3-beta-glucanosyltransferase PGA4",PGA4,CaO19.11518,Q5AJY5,31.81,13.22,2.41
Glycolipid 2-alpha-mannosyltransferase 2,MNT2,CaO19.1663,P46592,13.49,5.62,2.4
Gca2p,GCA2,CAALFM_C110550CA,A0A1D8PEW1,49.09,20.69,2.37
Proteasome core particle subunit beta 3,PUP3,CAALFM_C703390CA,A0A1D8PRB6,2.71,1.15,2.36
H(+)-transporting V1 sector ATPase subunit H,VMA13,CAALFM_CR05080WA,A0A1D8PSX0,6.66,2.87,2.32
Chorismate synthase,ARO2,CAALFM_CR07710WA,A0A1D8PTK1,1.33,0.57,2.32
Glutamate decarboxylase,GAD1,CAALFM_C111660WA,A0A1D8PF79,16.95,7.47,2.27
PRA1 family protein,,CAALFM_C106480CA,A0A1D8PDT9,1.29,0.57,2.24
"Alpha-1,2-mannosyltransferase",MNN26,CaO19.13984,Q59R28,9.16,4.22,2.17
Cell surface mannoprotein MP65,MP65,CaO19.1779,Q59XX2,189.21,90.65,2.09
Proteasome core particle subunit beta 1,PRE3,CAALFM_C305560WA,A0A1D8PK85,1.18,0.57,2.05
Kre9p,KRE9,CAALFM_C304180WA,Q5ANN9,2.69,1.41,1.91
Uncharacterized protein,,CAALFM_C300640WA,Q5A7S3,2.63,1.41,1.87
Cell division control protein 10,CDC10,CaO19.548,P39827,2.62,1.41,1.86
Uncharacterized protein,,CAALFM_C307470WA,A0A1D8PKU6,11.26,6.32,1.78
Carboxypeptidase,CPY1,CAALFM_C703360WA,A0A1D8PRC2,1.02,0.57,1.77
Glutathione peroxidase,,CAALFM_C600850WA,Q59WW7,7.44,4.22,1.76
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,MET6,CaO19.10083,P82610,21.54,12.65,1.7
Proteasome endopeptidase complex,PRE9,CAALFM_C303520CA,Q5AEB8,2.32,1.41,1.65
Uncharacterized protein,,CAALFM_C105630CA,A0A1D8PDL7,15.77,9.77,1.61
Ifr2p,IFR2,CAALFM_CR03280WA,A0A1D8PSE7,3.7,2.3,1.61
Transaldolase,TAL1,CAALFM_CR03720WA,Q5A017,36.12,22.49,1.61
Glucose-6-phosphate isomerase,PGI1,CaO19.11369,P83780,24.51,15.46,1.59
Proteasome regulatory particle base subunit,RPN1,CAALFM_C113300CA,A0A1D8PFL7,2.73,1.72,1.58
Protein transport protein SEC31,PGA63,CaO19.13598,Q5AAU3,2.18,1.41,1.55
Ras-like protein 1,RAS1,CaO19.1760,Q59XU5,6.5,4.22,1.54
Hsp70 family ATPase,KAR2,CAALFM_C201120WA,A0A1D8PG96,20.06,13.22,1.52
Rab GDP dissociation inhibitor,GDI1,CAALFM_C114440CA,A0A1D8PFX8,5.16,3.45,1.5
Proteasome core particle subunit beta 6,,CAALFM_C402470CA,A0A1D8PLK1,3.38,2.3,1.47
"3-hydroxyanthranilate 3,4-dioxygenase",BNA1,CaO19.3515,Q59K86,1.99,1.41,1.42
Phosphoserine phosphatase,SER2,CAALFM_C202690WA,Q5A0H3,1.98,1.41,1.41
E1 ubiquitin-activating protein,UBA1,CAALFM_C306500WA,A0A1D8PKJ3,7.25,5.17,1.4
Arf3p,ARF3,CAALFM_C301470WA,A0A1D8PJ64,0.8,0.57,1.39
ADP-ribosylation factor GTPase-activating protein,GLO3,CAALFM_C300240CA,Q5A7M1,0.79,0.57,1.38
"3,4-dihydroxy-2-butanone 4-phosphate synthase)",RIB3,CaO19.12693,Q5A3V6,3.87,2.81,1.38
ADP-ribosylation factor,ARF1,CaO19.13805,P22274,7.04,5.17,1.36
Ras family GTPase,RSR1,CAALFM_CR02140WA,A0A1D8PS50,1.56,1.15,1.36
Protein disulfide isomerase,PDI1,CAALFM_C703250CA,A0A1D8PR99,7.6,5.75,1.32
14-3-3 protein homolog,BMH1,CaO19.10532,O42766,20.35,15.46,1.32
Repressed by EFG1 protein 1),RBE1,CaO19.7218,Q59ZX3,9.25,7.03,1.32
Phosphatidylinositol 4-phosphate-binding protein,GGA2,CAALFM_C103130CA,A0A1D8PCX6,1.51,1.15,1.31
Translationally-controlled tumor protein homolog (TCTP),TMA19,CaO19.10778,Q5A860,1.84,1.41,1.31
Alkaline phosphatase,PHO8,CAALFM_C110430WA,A0A1D8PEV2,2.25,1.72,1.3
Malate synthase,MLS1,CAALFM_C109690WA,Q5APD2,14.64,11.24,1.3
60S ribosomal protein L10a,RPL10A,CaO19.10969,Q9UVJ4,16.45,12.65,1.3
Phosphoribosylaminoimidazolesuccinocarboxamide synthase,ADE1,CAALFM_CR00510CA,A0A1D8PRQ1,1.49,1.15,1.29
Septin,CDC3,CAALFM_C104210CA,A0A1D8PD83,1.48,1.15,1.29
Leu42p,LEU42,CAALFM_C209750WA,A0A1D8PIF8,2.22,1.72,1.29
Peptidyl-prolyl cis-trans isomerase (PPIase),CYP1,CaJ7.0279,P22011,16.26,12.65,1.29
E3 ubiquitin-protein ligase,RSP5,CAALFM_C208500WA,Q59Y21,1.77,1.41,1.26
Ran GTPase-binding protein,YRB1,CAALFM_CR00580WA,A0A1D8PRQ3,0.71,0.57,1.23
Coatomer subunit gamma,SEC21,CAALFM_C104830WA,A0A1D8PDE3,5.63,4.6,1.23
Dag7p,DAG7,CAALFM_C401010CA,Q5AMF9,1.69,1.41,1.2
RNA-binding protein,,CAALFM_C304590WA,A0A1D8PK11,1.35,1.15,1.18
Uncharacterized protein,,CAALFM_CR03020CA,Q5A1X9,1.64,1.41,1.17
Flavodoxin-like fold family protein,PST3,CAALFM_CR05390WA,A0A1D8PT02,5.36,4.6,1.17
Thioredoxin peroxidase,AHP1,CAALFM_C402410CA,Q5AF44,14.31,12.65,1.13
Hsp70 family chaperone,LHS1,CAALFM_C202760WA,A0A1D8PGU0,4.45,4.02,1.11
Uncharacterized protein,,CAALFM_C110170WA,Q5AP78,1.54,1.41,1.09
Proteasome endopeptidase complex,PUP2,CAALFM_CR06750CA,Q59PZ1,1.5,1.41,1.06
Glutamate-5-semialdehyde dehydrogenase,PRO2,CAALFM_C307220CA,Q5ADR2,2.09,1.98,1.06
Copper transport protein ,CTR1,CaO19.11130,Q59NP1,5.88,5.62,1.05
Proteasome endopeptidase complex,PRE8,CAALFM_CR09380WA,A0A1D8PTY6,2.39,2.3,1.04
Transcriptional repressor,TUP1,CaO19.13528,P0CY34,2.92,2.81,1.04
Candidapepsin-9,SAP9,CaO19.14190,Q59SU1,13.07,12.65,1.03
Reticulon-like protein,,CAALFM_C404800WA,A0A1D8PM53,3.54,3.45,1.03
Phosphomannomutase,PMM1,CaO19.10454,P31353,11.51,11.24,1.02
"Saccharopine dehydrogenase [NAD(+), L-lysine-forming]",LYS1,CAALFM_C405320WA,A0A1D8PMA1,2.35,2.3,1.02
Hypoxanthine phosphoribosyltransferase,HPT1,CAALFM_C202740CA,A0A1D8PGN7,0.59,0.57,1.02
Nucleoside diphosphate kinase,YNK1,CAALFM_C502890WA,Q5AG68,11.43,11.24,1.02
Pho114p,PHO114,CAALFM_C402070WA,Q5AMR2,2.81,2.81,1
Uncharacterized protein,,CAALFM_C101300WA,Q5A915,1.39,1.41,0.99
"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",IDH2,CAALFM_C203080WA,A0A1D8PGS5,2.84,2.87,0.99
Formate dehydrogenase,FDH1,CAALFM_CR05170CA,Q59QN6,6.92,7.03,0.98
Isocitrate dehydrogenase [NADP],IDP2,CAALFM_CR02360WA,A0A1D8PS79,6.78,6.9,0.98
Fimbrin,SAC6,CAALFM_C602730WA,A0A1D8PPY8,2.24,2.3,0.97
Yim1p,YIM1,CAALFM_C203750WA,Q5AHE9,1.35,1.41,0.96
Omega-class glutathione transferase,ECM4,CAALFM_CR02130WA,A0A1D8PS56,1.63,1.72,0.94
"Endo-1,3(4)-beta-glucanase 1",ENG1,CaO19.10584,Q5AIR7,46.76,50.6,0.92
Protein YOP1,,CAALFM_C208160CA,A0A1D8PI76,2.06,2.3,0.9
"Glucan 1,3-beta-glucosidase",XOG1,Ca49C10.05,P29717,38.73,43.25,0.9
Protein SUR7,SUR7,CaO19.10917,Q5A4M8,4.94,5.62,0.88
Actin-related protein 2/3 complex subunit 4,ARC19,CAALFM_CR01040CA,A0A1D8PRU4,0.5,0.57,0.87
Plasma membrane ATPase,PMA1,CAALFM_C300720WA,A0A1D8PJ01,17.94,20.69,0.87
Oxysterol-binding protein,,CAALFM_C205720CA,A0A1D8PHG1,3.96,4.6,0.86
"Glucan 1,3-beta-glucosidase",BGL2,CaO19.12034,Q5AMT2,178.63,208.72,0.86
Chitinase 1,CHT1,CaO19.7517,Q5AAH2,7.17,8.43,0.85
Cell division control protein 42 homolog,CDC42,CaO19.390,P0CY33,2.32,2.81,0.83
Flavodoxin-like fold family protein,YCP4,CAALFM_CR05380CA,A0A1D8PT03,0.94,1.15,0.82
Glycolipid 2-alpha-mannosyltransferase 1,MNT1,CaO19.1665,Q00310,20.71,25.3,0.82
Coatomer subunit zeta,,CAALFM_CR03600CA,Q5A006,2.3,2.81,0.82
Glucoamylase 1,GAM1,CaO19.12365,O74254,37.13,45.81,0.81
Candidapepsin-8,SAP8,CaO19.242,Q5AEM6,5.48,7.03,0.78
Proteinase A,APR1,CAALFM_C207400CA,Q59U59,5.43,7.03,0.77
Endoplasmic reticulum vesicle protein 25,ERV25,CaO19.7409,Q5A302,3.26,4.22,0.77
Rab family GTPase,YPT1,CAALFM_C103500WA,Q5AI00,4.26,5.62,0.76
Cell wall protein RHD3 (LDG family protein 7),RHD3,CaO19.12765,Q5A5U4,2.13,2.81,0.76
ATP-dependent RNA helicase eIF4A,TIF1,CaO19.10834,P87206,31.37,41.91,0.75
Translation elongation factor EF1B gamma,CAM1,CAALFM_C306010WA,A0A1D8PKC3,10.65,14.37,0.74
Protein phosphatase 2A structural subunit,TPD3,CAALFM_C306910CA,Q5ADN1,4.03,5.62,0.72
Mitochondrial outer membrane protein porin (Cytoplasmic antigenic protein 4),POR1,CaO19.1042,P83781,18.12,25.3,0.72
Arf family GTPase,ARF2,CAALFM_C304950WA,Q5AND9,17.05,23.89,0.71
Peptidyl-prolyl cis-trans isomerase D (PPIase D),CPR6,CaO19.7654,Q5ACI8,2.97,4.22,0.7
Peroxiredoxin TSA1-A,TSA1,CaO19.7417,Q9Y7F0,11.76,16.87,0.7
Uncharacterized protein,,CAALFM_C201690WA,Q5ALU6,0.98,1.41,0.7
Glutamate dehydrogenase,GDH3,CAALFM_C406120WA,A0A1D8PMH8,3.2,4.6,0.7
Exomer complex subunit,BUD7,CAALFM_C503820CA,Q59N76,0.96,1.41,0.69
Cell surface GPI-anchored protein ECM33,ECM331,CaO19.11730,Q5AGC4,0.96,1.41,0.68
Uncharacterized protein,,CAALFM_C202410WA,A0A1D8PGL1,1.56,2.3,0.68
Mir1p,MIR1,CAALFM_C110160WA,Q5AP79,15.2,22.49,0.68
L-iditol 2-dehydrogenase,XYL2,CAALFM_CR10840CA,A0A1D8PUB4,8.03,12.07,0.67
Superoxide dismutase,SOD2,CAALFM_C101520CA,Q5A8Z4,1.87,2.81,0.66
GTP-binding protein RHO1,RHO1,CaO19.10362,O42825,10.08,15.46,0.65
Tubulin alpha chain,TUB1,CAALFM_CR09120CA,A0A1D8PTV4,6.14,9.77,0.63
Eukaryotic translation initiation factor 4E,TIF45,CaO19.7626,Q9P975,1.71,2.81,0.61
Transcription factor TFIIIC subunit,,CAALFM_C701650WA,A0A1D8PQW6,1.05,1.72,0.61
Mrf1p,MRF1,CAALFM_C111700CA,Q59TU5,2.55,4.22,0.6
Chitinase 3,CHT3,CaO19.7586,P40954,27.7,45.81,0.6
Phosphoglycerate kinase,PGK1,CaO19.11135,P46273,39.13,65.23,0.6
Protein transport protein,SEC13,CaO19.316,Q5AEF2,1.68,2.81,0.6
Actin,ACT1,CAALFM_C113700WA,A0A1D8PFR4,13.69,22.99,0.6
Phosphoacetylglucosamine mutase (PAGM),AGM1,CAALFM_C113760WA,Q5AKW4,1.65,2.81,0.59
NAD-specific glutamate dehydrogenase,GDH2,CAALFM_C207900WA,A0A1D8PI00,3.36,5.75,0.58
pH-responsive protein 2,PHR2,CaO19.13500,O13318,4.92,8.43,0.58
Ribosomal 60S subunit protein L12A,RPL12,CAALFM_C302110WA,Q5AJF7,6.04,10.41,0.58
Alcohol dehydrogenase 2,ADH2,Ca41C10.04,O94038,13.27,23.06,0.58
Candidapepsin-2,SAP2,CaO19.11193,P0DJ06,5.94,10.41,0.57
Sla2p,SLA2,CAALFM_C703810WA,A0A1D8PRF5,0.33,0.57,0.57
Mannose-6-phosphate isomerase,PMI1,CaO19.1390,P34948,2.7,4.79,0.56
S-adenosylmethionine synthase,SAM2,CAALFM_C111450CA,A0A1D8PF68,6.45,11.49,0.56
Guanine nucleotide-binding protein subunit beta-like protein (Cytoplasmic antigenic protein 1),ASC1,CaJ7.0140,P83774,22,39.36,0.56
Uncharacterized protein,,CAALFM_CR00090CA,A0A1D8PRL3,0.31,0.57,0.55
Proteasome core particle subunit beta 5,PRE2,CAALFM_C206820CA,Q59Z65,1.53,2.81,0.54
S-(hydroxymethyl)glutathione dehydrogenase,FDH3,CAALFM_CR10250CA,A0A1D8PU61,4.96,9.2,0.54
Phosphoenolpyruvate carboxykinase,PCK1,CAALFM_CR00200WA,A0A1D8PRM7,12.53,24.14,0.52
Proliferating cell nuclear antigen,POL30,CAALFM_C401770WA,Q5AMN0,2.18,4.22,0.52
3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase),ERG13,CAALFM_CR09160CA,A0A1D8PTW6,3.52,6.9,0.51
Ribosomal 60S subunit protein L14B,RPL14,CAALFM_C113050WA,A0A1D8PFL9,3.47,6.9,0.5
Cam1-1p,CAM1-1,CAALFM_C503280WA,A0A1D8PNN8,5.7,11.49,0.5
Adenylyl cyclase-associated protein,SRV2,CAALFM_CR04190WA,Q5A6P9,2.08,4.22,0.49
Phosphoglycerate mutase (PGAM),GPM1,CaO19.8522,P82612,8.91,18.27,0.49
Inorganic pyrophosphatase,IPP1,CaO19.11072,P83777,7.39,15.46,0.48
Heat shock protein 90 homolog,HSP90,CaJ7.0234,P46598,38.73,82.61,0.47
Emp24p,EMP24,CAALFM_CR07590WA,Q59V63,1.96,4.22,0.46
Hexokinase-2,HXK2,CaO19.542,P83776,22.87,50.34,0.45
Secreted beta-glucosidase,SIM1,CaO19.12499,Q5AKU5,35.33,77.88,0.45
Rab family GTPase,YPT31,CAALFM_CR07520CA,A0A1D8PTI2,0.78,1.72,0.45
Metalloendopeptidase,PRD1,CAALFM_C105300CA,Q5A2A7,3.75,8.43,0.45
SCF ubiquitin ligase subunit,SKP1,CAALFM_C107410CA,Q59WE2,0.62,1.41,0.44
60S acidic ribosomal protein P0,RPP0,CAALFM_C700990WA,A0A1D8PQS0,3.05,6.9,0.44
"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",IDH1,CAALFM_C109630WA,A0A1D8PEM5,1.51,3.45,0.44
Tubulin beta chain,TUB2,CAALFM_C100710CA,A0A1D8PC97,3.53,8.05,0.44
Triosephosphate isomerase,TPI1,CaO19.14037,Q9P940,33.08,75.9,0.44
Trifunctional fatty acid synthase subunit,FAS2,CAALFM_C304830CA,A0A1D8PK65,21.03,48.85,0.43
"1,3-beta-glucan synthase",GSC1,CAALFM_C102420CA,A0A1D8PCT0,4.68,10.92,0.43
Putative cystathionine beta-lyase,,CAALFM_CR09010CA,A0A1D8PTV7,1.47,3.45,0.43
SEC14 cytosolic factor (Phosphatidylinositol/phosphatidylcholine transfer protein),SEC14,CaO19.8556,P46250,2.39,5.62,0.42
DNA mismatch repair protein HSM3,HSM3,CaJ7.0396,Q59PP0,2.1,5.05,0.42
UTP--glucose-1-phosphate uridylyltransferase,UGP1,CaO19.1738,Q59KI0,5.39,13.22,0.41
D-arabinose 1-dehydrogenase (NAD(P)(+)),,CAALFM_C400380WA,A0A1D8PL15,0.23,0.57,0.41
"Mannan endo-1,6-alpha-mannosidase",DFG5,CaO19.2075,Q5ACZ2,1.7,4.22,0.4
Nucleoporin,,CAALFM_C104200CA,A0A1D8PD79,3.71,9.2,0.4
40S ribosomal protein S12,RPS12,CAALFM_C307150CA,Q5ADQ6,2.83,7.03,0.4
"Saccharopine dehydrogenase (NADP+, L-glutamate-forming)",LYS9,CAALFM_C306590WA,A0A1D8PKJ4,2.08,5.17,0.4
Phm7p,PHM7,CAALFM_C208140CA,A0A1D8PI19,0.23,0.57,0.4
"Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial",LSC1,CAALFM_C101690CA,Q5A8X6,3.36,8.43,0.4
Dihydrolipoyl dehydrogenase,LPD1,CAALFM_CR07400CA,Q59RQ6,2.18,5.62,0.39
Elongation factor 2,EFT2,CaO19.13210,Q5A0M4,50.63,132.76,0.38
Uncharacterized protein,,CAALFM_CR07460CA,A0A1D8PTI1,7.65,20.12,0.38
ADP/ATP carrier protein,PET9,CAALFM_C500590WA,Q5A516,24.37,66.64,0.37
Fructose-bisphosphate aldolase,FBA1,CaO19.12088,Q9URB4,39.11,107.08,0.37
Bifunctional cysteine synthase/O-acetylhomoserine aminocarboxypropyltransferase,MET15,CAALFM_C400200CA,Q59US5,2.55,7.03,0.36
Adh1p,ADH1,CAALFM_C505050WA,A0A1D8PP43,24.86,69.54,0.36
Hsp90 co-chaperone,CDC37,CaO19.5531,Q8X1E6,0.5,1.41,0.36
Pyruvate kinase,CDC19,CaO19.11059,P46614,13.15,37.12,0.35
GTP-binding nuclear protein,GSP1,CAALFM_C206310CA,Q59P43,3.68,10.41,0.35
Asparagine--tRNA ligase,DED81,CAALFM_C703670WA,Q59R18,3.92,11.24,0.35
Acetyl-coenzyme A synthetase,ACS1,CAALFM_C210350CA,Q59XW4,5.06,14.63,0.35
Transketolase,TKL1,CAALFM_C108320WA,Q5A750,11.28,34.31,0.33
Histone H4,HHF1,CAALFM_C104240CA,Q59VN4,1.37,4.22,0.33
F1F0 ATP synthase subunit 4,ATP4,CAALFM_C205500WA,Q59ZE0,2.72,8.43,0.32
Ardp,ARD,CAALFM_C600150WA,A0A1D8PPB1,0.55,1.72,0.32
60S ribosomal protein L6,RPL6,CAALFM_C103110WA,A0A1D8PCX8,2.59,8.05,0.32
Isocitrate lyase,ICL1,CAALFM_C104500WA,Q59RB8,4.45,14.06,0.32
Ribosomal 60S subunit protein L22B,,CAALFM_C404390WA,A0A1D8PM41,1.26,4.02,0.31
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit,WBP1,CAALFM_C111170WA,A0A1D8PF22,0.17,0.57,0.3
Non-classical export protein 102,NCE102,CaO19.13381,Q5ANE3,1.7,5.62,0.3
UDP-N-acetylglucosamine diphosphorylase,UAP1,CAALFM_C502530WA,A0A1D8PNG6,0.17,0.57,0.3
Ribosomal 40S subunit protein S18B,RPS18,CAALFM_C700960WA,A0A1D8PQQ5,2.89,9.77,0.3
Enolase 1,ENO1,CaO19.395,P30575,53.48,180.8,0.3
Homocitrate synthase,LYS21,CAALFM_C104730CA,Q59VG1,5.37,18.27,0.29
H(+)-transporting V1 sector ATPase subunit E,VMA4,CAALFM_CR01970CA,A0A1D8PS38,0.34,1.15,0.29
"ATP synthase subunit d, mitochondrial",ATP7,CAALFM_C107600WA,Q59PV8,2.06,7.03,0.29
Anthranilate phosphoribosyltransferase,TRP4,CAALFM_C407090CA,A0A1D8PMR2,0.64,2.3,0.28
Importin subunit alpha,,CAALFM_C500150CA,A0A1D8PMU8,0.96,3.45,0.28
Glutathione peroxidase,GPX2,CAALFM_C600840WA,Q59WW8,0.78,2.81,0.28
Bifunctional AP-4-A phosphorylase/ADP sulfurylase,APA2,CAALFM_C603410CA,A0A1D8PQ57,0.16,0.57,0.27
ATP-binding cassette glutathione S-conjugate transporter,YCF1,CAALFM_C702330WA,A0A1D8PR42,0.16,0.57,0.27
Aspartyl aminopeptidase,,CAALFM_C110820CA,Q59WG6,2.04,7.6,0.27
Clathrin heavy chain (Fragment),CHC1,CAALFM_C602120WA,A0A1D8PPS9,2.78,10.35,0.27
Ubiquitin-ribosomal 40S subunit protein S31 fusion protein,UBI3,CAALFM_C407180WA,Q5A109,12.18,45.55,0.27
Ftr2p,FTR2,CAALFM_C114220CA,A0A1D8PFV2,0.15,0.57,0.27
Uncharacterized protein,,CAALFM_C209970CA,Q59YH1,1.45,5.62,0.26
"Ketol-acid reductoisomerase, mitochondrial",ILV5,CAALFM_C600870CA,A0A1D8PPG7,1.44,5.75,0.25
Acyl-coenzyme A oxidase,POX1-3,CAALFM_C301960CA,Q5AJD9,5.36,21.66,0.25
Sphingolipid C9-methyltransferase (C-9-MT),MTS1,CaO19.12294,Q5APD4,1.87,7.6,0.25
Ribosomal 40S subunit protein S23B,RPS23A,CAALFM_C106580WA,A0A1D8PDU3,0.56,2.3,0.24
Peroxisomal catalase,CAT1,CaO19.13609,O13289,3.24,13.61,0.24
Proteasome core particle subunit beta 2,PUP1,CAALFM_CR10300WA,A0A1D8PU67,0.27,1.15,0.24
NADH-cytochrome b5 reductase 2,MCR1,CaO19.11001,Q59M70,3.27,14.06,0.23
Eukaryotic translation initiation factor 5A,ANB1,CaO19.10930,O94083,1.89,8.43,0.22
Uncharacterized protein,,CAALFM_C113190WA,A0A1D8PFM0,0.26,1.15,0.22
"Alpha-1,2-mannosyltransferase",MNN2,CaO19.2347,Q59WF4,2.17,9.84,0.22
Tetrafunctional fatty acid synthase subunit,FAS1,CAALFM_C500190CA,Q5A4W7,27.76,127.65,0.22
AMP-activated serine/threonine-protein kinase regulatory subunit,SNF4,CAALFM_C603920WA,A0A1D8PQA6,0.25,1.15,0.22
Ribosomal 40S subunit protein S9B,RPS9B,CAALFM_C203820CA,A0A1D8PGY8,1.48,6.9,0.22
Ribosomal 40S subunit protein S16A,RPS16A,CAALFM_C103030WA,A0A1D8PCW6,1.44,6.9,0.21
Asparagine synthase (Glutamine-hydrolyzing) 2,ASN1,CAALFM_C209060CA,A0A1D8PIB2,2.37,11.49,0.21
"Alpha,alpha-trehalose-phosphate synthase [UDP-forming]",TPS1,CaO19.13961,Q92410,1.68,8.43,0.2
Phosphotransferase,GLK1,CAALFM_CR07150WA,Q59TZ8,6.19,31.5,0.2
Elongation factor 1-alpha 2 (EF-1-alpha 2),TEF2,CaO19.382,Q59QD6,23.54,119.86,0.2
Ribosomal 60S subunit protein L18A,RPL18,CAALFM_C305100CA,A0A1D8PK43,1.44,7.47,0.19
Psa2p,PSA2,CAALFM_C113160WA,Q5AL34,2.69,14.06,0.19
Ras-related protein SEC4,SEC4,Ca49C4.03c,P0CY31,1.6,8.43,0.19
Protein transport protein SEC23,SEC23,CaO19.1254,Q5A455,1.71,9.01,0.19
Pyridoxine biosynthesis protein,SNZ1,CAALFM_C102590CA,Q5AIA6,2.67,14.63,0.18
Protein transport protein SEC24,SEC24,CaO19.12194,Q5AQ76,1.98,11.24,0.18
Trehalose 6-phosphate synthase/phosphatase complex subunit,TPS3,CAALFM_C210690WA,A0A1D8PIS4,0.6,3.45,0.17
Uncharacterized protein,,CAALFM_C202000WA,A0A1D8PGG5,0.69,4.02,0.17
40S ribosomal protein S0,RPS0,CaO19.6975,O42817,5.24,30.67,0.17
Uncharacterized protein,,CAALFM_C108110WA,A0A1D8PEA9,0.1,0.57,0.17
Nuclear pore protein,,CAALFM_C201220WA,A0A1D8PGB0,0.1,0.57,0.17
"Alpha-1,4 glucan phosphorylase",GPH1,CAALFM_C700930WA,A0A1D8PQQ3,6.09,36.21,0.17
F1F0 ATP synthase subunit e,,CAALFM_C400330CA,A0A1D8PL02,0.19,1.15,0.17
Putative hydrolase,NIT3,CAALFM_C110700CA,Q59WF0,0.23,1.41,0.17
Transcription elongation factor,SPT6,CaJ7.0509,Q3MNT0,0.1,0.57,0.17
Homoserine dehydrogenase,HOM6,CAALFM_C102620CA,Q5AIA2,2.56,15.46,0.17
40S ribosomal protein S22-B,RPS22B,orf19.3061.1,P0CU35,2.75,16.87,0.16
Heat shock protein SSA1,SSA1,CaO19.12447,P41797,16.75,103.18,0.16
Isoleucine--tRNA ligase,ILS1,CAALFM_C604520WA,Q59RI1,6.97,43.57,0.16
Uncharacterized protein,,CAALFM_C502380WA,A0A1D8PNE5,0.63,4.02,0.16
Pyruvate decarboxylase,PDC11,CaO19.10395,P83779,35.27,227.76,0.15
Ubiquinol--cytochrome-c reductase subunit,,CAALFM_C505230CA,A0A1D8PP59,1.5,9.77,0.15
ATP synthase subunit alpha,ATP1,CAALFM_C104610WA,A0A1D8PDC4,2.16,14.37,0.15
40S ribosomal protein S21,RPS21B,CAALFM_C101370CA,A0A1D8PCG7,0.17,1.15,0.15
S-adenosylmethionine-homocysteine S-methyltransferase,SAM4,CAALFM_C108410CA,A0A1D8PEB0,0.34,2.3,0.15
Transmembrane 9 superfamily member,EMP70,CAALFM_C402550CA,Q5AF62,0.5,3.39,0.15
Thioredoxin peroxidase,PRX1,CAALFM_C702810WA,Q5A5A0,1.43,9.84,0.15
Fmp45p,FMP45,CAALFM_C702240WA,A0A1D8PR25,0.33,2.3,0.14
Cell wall protein,IFF11,CaO19.12854,Q5A7R7,2.2,15.46,0.14
Uncharacterized protein,,CAALFM_C504470CA,Q5AK88,0.39,2.81,0.14
Acetyltransferase component of pyruvate dehydrogenase complex,LAT1,CAALFM_C701640WA,Q5AGX8,2.52,18.27,0.14
