orf6.10	C6_01190C_A	VPS15	Protein involved in retrograde endosome-to-Golgi protein transport; required for normal virulence	autophagy of peroxisome||inositol lipid-mediated signaling||late endosome to vacuole transport||macroautophagy||pathogenesis||positive regulation of transcription elongation from RNA polymerase II promoter||protein phosphorylation||protein retention in Golgi apparatus||protein targeting to vacuole||retrograde transport, endosome to Golgi||vacuole inheritance	nucleus-vacuole junction||phosphatidylinositol 3-kinase complex, class III, type I||phosphatidylinositol 3-kinase complex, class III, type II||vacuole-isolation membrane contact site	ATP binding||protein serine/threonine kinase activity||ubiquitin binding
orf6.1992	C3_02600C_A	SLC1	Putative fatty acyltransferase; protein repressed during the mating process	glycerophospholipid biosynthetic process	lipid droplet||plasma membrane	1-acylglycerol-3-phosphate O-acyltransferase activity
orf6.1994	C3_02590W_A	APL5	Ortholog of S. cerevisiae and S. pombe Apl5; subunit of the AP-3 adaptor complex involved in Golgi-to-vacuole transport; phosphorylated protein; mutant is viable;	Golgi to vacuole transport||protein targeting to vacuole	AP-3 adaptor complex	molecular_function
orf6.1995	C3_02580C_A		Ortholog(s) have role in endosome organization, regulation of protein localization and BLOC-1 complex localization	endosome organization||regulation of protein localization	BLOC-1 complex	molecular_function
orf6.1996	C3_02570W_A		Predicted metalloendopeptidase; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.1997	C3_01690W_A		Ortholog(s) have role in positive regulation of catalytic activity	positive regulation of catalytic activity	cellular_component	molecular_function
orf6.1998	C3_01680C_A		Predicted potassium ion transporter; Spider biofilm induced	potassium ion transport||proton transmembrane transport	integral component of mitochondrial inner membrane	molecular_function
orf6.1999	C3_01670W_A		Protein of unknown function; transcript detected on high-resolution tiling arrays	biological_process	cellular_component	molecular_function
orf6.2	orf19.38		Predicted ORF from Assembly 19; removed from Assembly 20			
orf6.20	CR_04840C_A	MSS11	Transcription factor; activator that binds to Flo8 via a LisH motif to cooperatively activate transcription of hypha-specific genes; required for hyphal growth	cellular response to neutral pH||filamentous growth||filamentous growth of a population of unicellular organisms in response to neutral pH||positive regulation of filamentous growth of a population of unicellular organisms in response to neutral pH||positive regulation of flocculation via cell wall protein-carbohydrate interaction by positive regulation of transcription from RNA polymerase II promoter||positive regulation of invasive growth in response to glucose limitation by positive regulation of transcription from RNA polymerase II promoter||positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter||positive regulation of starch catabolic process by positive regulation of transcription from RNA polymerase II promoter||positive regulation of transcription by RNA polymerase II	cellular_component	DNA-binding transcription factor activity
orf6.200	orf19.3800		Predicted ORF from Assembly 19; removed from Assembly 20			
orf6.2000	C3_01660W_A		Protein of unknown function; transcript detected on high-resolution tiling arrays	biological_process	cellular_component	molecular_function
orf6.2001	C3_01640C_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_81550, <i>C. parapsilosis CDC317</i> : CPAR2_503570, <i>Candida tenuis NRRL Y-1498</i> : cten_CGOB_00261 and <i>Debaryomyces hansenii CBS767</i> : DEHA2D15378g	biological_process	cellular_component	molecular_function
orf6.2002	C3_01630W_A	TFP1	Subunit of vacuolar H+-ATPase; stationary phase enriched protein; sumoylation target; Spider biofilm repressed	ATP hydrolysis coupled proton transport||ATP metabolic process||ATP synthesis coupled proton transport||arginine homeostasis||cellular protein metabolic process||cellular response to oxidative stress||endocytosis||histidine homeostasis||lysine homeostasis||methylamine metabolic process||pathogenesis||proton transmembrane transport||vacuolar acidification	cytosol||fungal-type vacuole membrane||mitochondrion||vacuolar proton-transporting V-type ATPase, V1 domain	ATP binding||nucleotide binding||proton-transporting ATPase activity, rotational mechanism
orf6.2003	C3_01620W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_81530, <i>C. parapsilosis CDC317</i> : CPAR2_503590, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_115755 and <i>Debaryomyces hansenii CBS767</i> : DEHA2D15334g	biological_process	cellular_component	molecular_function
orf6.2004	C1_04010C_A		Protein with a NADP-dependent oxidoreductase domain; transcript induced by ketoconazole; rat catheter and Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.2006	C1_04160C_A		Ortholog of <i>S. cerevisiae</i> : YMR087W, <i>C. glabrata CBS138</i> : CAGL0J01397g, <i>C. dubliniensis CD36</i> : Cd36_03920, <i>C. parapsilosis CDC317</i> : CPAR2_107150 and <i>Pichia stipitis Pignal</i> : PICST_61741	biological_process	cellular_component	molecular_function
orf6.2007	C1_04170C_A	HTA2	Putative histone H2A; farnesol regulated; rat catheter biofilm repressed; Spider biofilm repressed; Hap43-induced	DNA repair||nucleosome assembly||transfer RNA gene-mediated silencing	nucleosome||replication fork protection complex	DNA binding||protein heterodimerization activity
orf6.2008	C1_04180W_A		Predicted histone H2B; Hap43-induced gene; Spider biofilm repressed	nucleosome assembly	nucleosome||nucleus	DNA binding||protein heterodimerization activity
orf6.2009	C1_04190C_A	BST1	Inositol deacylase involved in attachment of GPI-anchored proteins to cell wall; required for host invasion and immune escape	GPI anchor metabolic process||endoplasmic reticulum to Golgi vesicle-mediated transport||evasion or tolerance of host immune response||fungal-type cell wall biogenesis||intracellular protein transport||pathogenesis||protein retention in ER lumen||protein-lipid complex remodeling||ubiquitin-dependent ERAD pathway||vesicle organization	endoplasmic reticulum	phosphatidylinositol deacylase activity
orf6.201	C4_04790W_A	FAV1	Protein with weak similarity to S. cerevisiae Fus2p; induced by alpha pheromone mating factor in MTLa/MTLa opaque cells	cytogamy||karyogamy involved in conjugation with cellular fusion||regulation of termination of mating projection growth	cytoplasm||mating projection tip||nucleus	molecular_function
orf6.2010	C1_04200C_A		Ortholog(s) have role in endoplasmic reticulum tubular network membrane organization, nuclear envelope organization, nuclear pore distribution, nuclear pore organization, spindle pole body localization to nuclear envelope	endoplasmic reticulum tubular network membrane organization||nuclear envelope organization||nuclear pore distribution||nuclear pore organization||spindle pole body localization to nuclear envelope	cell division site||cortical endoplasmic reticulum||integral component of membrane||nuclear membrane||nuclear pore	molecular_function
orf6.2011	C1_04210C_A	CDC3	Septin; essential for viability; functional homolog of S. cerevisiae Cdc3p; down-regulation associated with azole resistance; macrophage/pseudohyphal-repressed; virulence-group-correlated expression; gene has intron	conidiophore development||cytokinesis||hyphal growth||mitotic cytokinesis||septin ring assembly||septin ring disassembly	actomyosin contractile ring, proximal layer||ascospore wall||cell septum||cellular bud neck||cellular bud neck septin ring||hyphal septin ring||hyphal tip||incipient cellular bud site||mating projection base||medial cortex septin ring||mitotic septin complex||prospore membrane||septin filament array||septin ring	GTP binding||nucleotide binding||phosphatidylinositol-4-phosphate binding||phosphatidylinositol-5-phosphate binding||structural molecule activity
orf6.2012	C3_02720W_A		Has domain(s) with predicted protein kinase binding activity and role in regulation of cyclin-dependent protein serine/threonine kinase activity	regulation of cyclin-dependent protein serine/threonine kinase activity	cellular_component	protein kinase binding
orf6.2013	C3_02700W_A	SMC3	Protein similar to S. cerevisiae Smc3p, which is an ATPase involved in sister chromatid cohesion; likely to be essential for growth, based on an insertional mutagenesis strategy	ascospore formation||maintenance of mitotic sister chromatid cohesion, centromeric||meiotic sister chromatid cohesion||mitotic cohesin ssDNA (lagging strand) loading||reciprocal meiotic recombination||replication-born double-strand break repair via sister chromatid exchange||synaptonemal complex assembly	condensed nuclear chromosome, centromeric region||nuclear mitotic cohesin complex	ATP binding||ATPase activity||DNA binding||cohesin ATPase activity||protein kinase binding||topological DNA entrapment activity
orf6.2014	C3_02690C_A		Ortholog(s) have dolichol kinase activity, role in dolichyl monophosphate biosynthetic process and endoplasmic reticulum membrane localization	dolichyl monophosphate biosynthetic process	endoplasmic reticulum membrane	dolichol kinase activity
orf6.2015	C2_10350C_A	ACS1	Acetyl-CoA synthetase; induced by human neutrophils; fluconazole-repressed; regulated by Nrg1/Mig1; colony morphology-related gene regulation by Ssn6; only in stationary phase cultures; rat catheter biofilm repressed, Spider biofilm induced	acetate fermentation||acetyl-CoA biosynthetic process||acetyl-CoA biosynthetic process from acetate||histone acetylation	cytosol	AMP binding||acetate-CoA ligase activity||acid-ammonia (or amide) ligase activity
orf6.2016	C2_10340W_A	HEM4	Putative uroporphyrinogen III synthase; induced in high iron or elevated CO2; alkaline, Hap43-repressed	heme biosynthetic process	cellular_component	uroporphyrinogen-III synthase activity
orf6.2017	C2_10330C_A		Protein of unknown function; Hap43-repressed gene	biological_process	cellular_component	molecular_function
orf6.2018	C2_10320C_A		Protein similar to S. cerevisiae meiosis-specific, spore-wall-localized protein Ssp2p, which is required for wild-type outer spore wall formation in S. cerevisiae; possibly an essential gene (UAU1 method); Hap43p-repressed	ascospore wall assembly||positive regulation of protein autophosphorylation	ascospore wall	molecular_function
orf6.202	C1_04950C_A	RPM2	Mitochondrial RNase P subunit; roles in nuclear transcription, cytoplasmic and mitochondrial RNA processing, mitochondrial translation; virulence-group-correlated expression; likely essential (UAU1 method); rat catheter biofilm induced	cytoplasmic translation||mRNA processing||mitochondrion organization||positive regulation of transcription by RNA polymerase II||tRNA 5'-leader removal	mitochondrial matrix||mitochondrial ribonuclease P complex||nucleus	ribonuclease P activity
orf6.2020	C2_10310C_A	KIP2	Putative kinesin-related motor protein involved in mitotic spindle positioning; repressed by alpha pheromone in SpiderM medium; periodic mRNA expression, peak at cell-cycle G2/M phase	apical protein localization||cortical microtubule organization||microtubule polymerization||negative regulation of microtubule depolymerization||nuclear migration along microtubule	cortical microtubule plus-end||microtubule associated complex||spindle midzone||spindle pole body	ATP binding||ATP-dependent microtubule motor activity, plus-end-directed||microtubule plus-end binding
orf6.2021	C2_10300C_A		Protein of unknown function; shows colony morphology-related gene regulation by Ssn6	biological_process	cellular_component	molecular_function
orf6.2023	orf19.4902		Predicted ORF from Assembly 19; removed from Assembly 20; subsequently merged with orf19.4901 in Assembly 21			
orf6.2024	C1_10310W_A		Predicted methyltransferase; Spider biofilm induced	metabolic process	cellular_component	methyltransferase activity
orf6.2025	C1_10300W_A	MNN12	Predicted alpha-1,3-mannosyltransferase activity with a role in protein glycosylation	protein O-linked glycosylation	cellular_component	alpha-1,3-mannosyltransferase activity
orf6.2026	C1_10290W_A	GCA1	Extracellular/plasma membrane-associated glucoamylase; expressed in rat oral infection; regulated by carbohydrates, pH, galactose; promotes biofilm matrix formation; flow model biofilm induced; Bcr1 repressed in RPMI a/a biofilms	carbohydrate catabolic process||single-species biofilm formation on inanimate substrate||starch metabolic process	extracellular region||plasma membrane	amylase activity
orf6.2027	orf19.4460		Predicted ORF from Assembly 19; removed from Assembly 20			
orf6.2028	C1_03880C_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_01005	biological_process	cellular_component	molecular_function
orf6.203	C6_03350C_A	ARP4	Subunit of the NuA4 histone acetyltransferase complex	DNA repair||histone H4 acetylation||histone H4-K12 acetylation||histone H4-K5 acetylation||histone H4-K8 acetylation||histone exchange||kinetochore assembly||regulation of nucleosome density||regulation of transcription by RNA polymerase II	Ino80 complex||NuA4 histone acetyltransferase complex||Swr1 complex	ATP-dependent 3'-5' DNA helicase activity||H4 histone acetyltransferase activity||nucleosomal histone binding
orf6.2030	C1_03890W_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_01004	biological_process	cellular_component	molecular_function
orf6.2031	C1_03900W_A	SEN15	Similar to delta subunit of tRNA splicing  endonuclease; increased transcription is observed upon fluphenazine treatment	tRNA-type intron splice site recognition and cleavage	tRNA-intron endonuclease complex	tRNA-intron endonuclease activity||tRNA-intron endonuclease activity
orf6.2032	C1_03910C_A		Protein of unknown function; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.2033	C1_03920C_A		Ortholog(s) have protein-cysteine S-palmitoyltransferase activity, role in protein palmitoylation, protein targeting to membrane and integral component of endoplasmic reticulum membrane localization	protein palmitoylation||protein targeting to membrane	integral component of endoplasmic reticulum membrane	protein-cysteine S-palmitoyltransferase activity||zinc ion binding
orf6.2034	C2_04880C_A	ARH2	Putative adrenodoxin-NADPH oxidoreductase; role in heme biosynthesis	cellular iron ion homeostasis||ubiquinone biosynthetic process	mitochondrial inner membrane	NADPH-adrenodoxin reductase activity
orf6.2035	C2_04910W_A		Protein of unknown function; flow model biofilm induced; transcript repressed by ciclopirox olamine	biological_process	cellular_component	molecular_function
orf6.2036	C2_04930C_A	CRK1	Protein kinase of the Cdc2 subfamily involved in hyphal development, virulence; promotes hyphal development independently of Cph1 and Efg1; functionally complements pheromone hypersensitivity of S. cerevisiae sgv1 mutant; Hap43p-repressed	cellular response to pH||filamentous growth||filamentous growth of a population of unicellular organisms||filamentous growth of a population of unicellular organisms in response to pH||flocculation||negative regulation of filamentous growth of a population of unicellular organisms in response to pH||negative regulation of flocculation||pathogenesis||phosphorylation of RNA polymerase II C-terminal domain||positive regulation of filamentous growth of a population of unicellular organisms||positive regulation of histone H3-K4 methylation||positive regulation of transcription elongation from RNA polymerase II promoter||protein phosphorylation||transcription, DNA-templated	cyclin-dependent protein kinase holoenzyme complex	ATP binding||MAP kinase activity||RNA polymerase II CTD heptapeptide repeat kinase activity||cyclin-dependent protein serine/threonine kinase activity||protein kinase activity||protein tyrosine kinase activity
orf6.2037	orf19.3524		Protein kinase of the Cdc2 subfamily involved in hyphal development and virulence; merged with orf19.3523 in Assembly 20	hyphal growth||pathogenesis||protein phosphorylation		MAP kinase activity||protein kinase activity
orf6.2039	C2_04940C_A	ITR1	MFS inositol transporter; uptake of exogenous inositol; 12 transmembrane motifs; expressed in rich medium; fluconazole, caspofungin repressed; possibly essential (UAU1 method); flow model, rat catheter and Spider biofilm induced	carbohydrate transport||glucose transmembrane transport||myo-inositol import across plasma membrane||myo-inositol transport	integral component of plasma membrane||membrane	glucose transmembrane transporter activity||myo-inositol transmembrane transporter activity||sugar transmembrane transporter activity
orf6.204	C6_03340C_A	GLC3	Putative 1,4-glucan branching enzyme; fluconazole-induced; colony morphology-related gene regulation by Ssn6; stationary phase enriched protein	glycogen biosynthetic process	cellular_component	1,4-alpha-glucan branching enzyme activity||cation binding||hydrolase activity, hydrolyzing O-glycosyl compounds
orf6.2040	C2_04950C_A	CYT1	Cytochrome c1; induced in high iron; alkaline repressed; possibly an essential gene, disruptants not obtained by UAU1 method; Hap43-repressed; Spider biofilm repressed	mitochondrial electron transport, ubiquinol to cytochrome c	mitochondrial respiratory chain complex III||plasma membrane	electron transfer activity||electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity||heme binding||iron ion binding
orf6.2041	C2_04960C_A		Protein of unknown function; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.2042	orf19.3584		Predicted ORF from Assembly 19; merged with orf19.225 in Assembly 20			
orf6.2043	C2_08840W_A		Putative tRNA methyltransferase complex subunit; regulated by Gcn4; repressed in response to amino acid starvation (3-aminotriazole treatment); Spider biofilm induced	maturation of LSU-rRNA||maturation of SSU-rRNA||peptidyl-glutamine methylation||rRNA (guanine-N7)-methylation||tRNA methylation	eRF1 methyltransferase complex||tRNA (m2G10) methyltransferase complex	protein methyltransferase activity||rRNA (guanine) methyltransferase activity||tRNA (guanine-N2-)-methyltransferase activity
orf6.2044	C2_08830W_A		Ortholog(s) have role in chitin localization, vesicle-mediated transport and integral component of endoplasmic reticulum membrane localization	chitin localization||vesicle-mediated transport	integral component of endoplasmic reticulum membrane	molecular_function
orf6.2046	orf19.3588		Predicted ORF from Assembly 19; merged with orf19.3586 in Assembly 20			
orf6.2047	C2_08820C_A	SPO11	DNA endonuclease; required for genetic recombination between homologous chromosomes during the parasexual cycle; produced in mitotically dividing cells; similar to S. cerevisiae Spo11 which functions in recombination during meiosis	DNA catabolic process, endonucleolytic||DNA recombination||homologous chromosome orientation involved in meiotic metaphase I plate congression||meiotic DNA double-strand break formation||reciprocal meiotic recombination	site of double-strand break	ATP binding||DNA end binding||chromatin binding||endodeoxyribonuclease activity, producing 3'-phosphomonoesters
orf6.2048	C2_08810C_A	IPP1	Putative inorganic pyrophosphatase; antigenic; soluble protein in hyphae; macrophage-induced protein; protein present in exponential and stationary phase yeast; possibly essential (UAU1 method); sumoylation target; Spider biofilm repressed	establishment or maintenance of cell polarity||phosphate-containing compound metabolic process	fungal biofilm matrix||hyphal cell wall||mitochondrion	inorganic diphosphatase activity||magnesium ion binding
orf6.2049	C2_08800C_A	APE3	Putative vacuolar aminopeptidase Y,; regulated by Gcn2 and Gcn4; rat catheter and Spider biofilm repressed	protein catabolic process in the vacuole||proteolysis	extracellular region||fungal-type vacuole	aminopeptidase activity
orf6.205	C3_00740W_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_02410	biological_process	cellular_component	molecular_function
orf6.2050	C2_08790W_A	JEM1	Functional homolog of S. cerevisiae Jem1p, which acts with Scj1p and Kar2p (BiP) in protein folding and ER-associated degradation of misfolded proteins, and also has a role in karyogamy; has J domain and 4 tetratricopeptide repeats	karyogamy involved in conjugation with cellular fusion||protein folding||protein folding in endoplasmic reticulum||ubiquitin-dependent ERAD pathway	endoplasmic reticulum||nuclear outer membrane-endoplasmic reticulum membrane network	chaperone binding||unfolded protein binding
orf6.2051	C2_08780W_A	RPT6	Putative ATPase of the 19S regulatory particle of the 26S proteasome; transcript regulated by Mig1; regulated by Gcn2 and Gcn4	chromatin remodeling||negative regulation of DNA-binding transcription factor activity||nonfunctional rRNA decay||nucleotide-excision repair||positive regulation of DNA-binding transcription factor activity||positive regulation of RNA polymerase II transcriptional preinitiation complex assembly||positive regulation of transcription elongation from RNA polymerase II promoter||proteasome regulatory particle assembly||proteasome-mediated ubiquitin-dependent protein catabolic process	nucleus||proteasome regulatory particle, base subcomplex||proteasome storage granule	ATP binding||hydrolase activity||nucleoside-triphosphatase activity||nucleotide binding||protein domain specific binding||ubiquitin protein ligase binding
orf6.2052	C4_01560C_A		Ortholog(s) have ubiquitin-ubiquitin ligase activity, role in ATP export, mitochondrion inheritance, protein monoubiquitination, protein polyubiquitination, ubiquitin-dependent endocytosis and ubiquitin ligase complex localization	ATP export||mitochondrion inheritance||protein monoubiquitination||protein polyubiquitination||ubiquitin-dependent endocytosis	ubiquitin ligase complex	ubiquitin-ubiquitin ligase activity
orf6.2053	C4_01550C_A	CPA1	Putative carbamoyl-phosphate synthase subunit; alkaline repressed; rat catheter, Spider and flow model biofilm induced	'de novo' pyrimidine nucleobase biosynthetic process||arginine biosynthetic process||carbamoyl phosphate biosynthetic process||glutamine catabolic process	carbamoyl-phosphate synthase complex||cytoplasmic stress granule||mitochondrion	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity||carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
orf6.2054	C4_01530C_A	ERG251	C-4 sterol methyl oxidase; role in ergosterol biosynthesis; Hap43-induced; ketoconazole-induced; amphotericin B, caspofungin repressed; possibly essential gene, disruptants not obtained by UAU1 method; Spider biofilm repressed	fatty acid biosynthetic process||oxidation-reduction process	plasma membrane	iron ion binding||oxidoreductase activity
orf6.2055	C4_00020W_A	VMA6	Putative vacuolar H+-ATPase subunit; required for proper vacuolar ATPase assembly and vacuolar functions; Spider biofilm repressed	vacuolar proton-transporting V-type ATPase complex assembly||vacuolar transport	fungal-type vacuole membrane	proton-transporting ATPase activity, rotational mechanism
orf6.2056	C4_00030C_A		Ortholog(s) have double-stranded DNA binding activity, role in DNA damage checkpoint, double-strand break repair, reciprocal meiotic recombination and checkpoint clamp complex localization	DNA damage checkpoint||double-strand break repair||reciprocal meiotic recombination	checkpoint clamp complex	double-stranded DNA binding
orf6.2059	C4_00040W_A	CNH1	Na+/H+ antiporter; required for wild-type growth, cell morphology, and virulence in a mouse model of systemic infection; not transcriptionally regulated by NaCl; fungal-specific (no human or murine homolog)	cell morphogenesis||cellular potassium ion homeostasis||metal ion transport||monovalent inorganic cation transport||pathogenesis||potassium ion export across plasma membrane||potassium ion transport||response to salt stress||sodium ion export across plasma membrane||sodium ion transport	integral component of membrane||membrane raft||plasma membrane	cation efflux transmembrane transporter activity||metal ion transmembrane transporter activity||monovalent inorganic cation transmembrane transporter activity||potassium:proton antiporter activity||sodium ion transmembrane transporter activity||sodium:proton antiporter activity
orf6.206	C3_00730W_A		Ortholog(s) have mRNA binding activity	negative regulation of chromatin silencing involved in replicative cell aging||negative regulation of translation||nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay||protein localization	cellular_component	mRNA binding
orf6.2060	C4_00040W_A	CNH1	Na+/H+ antiporter; required for wild-type growth, cell morphology, and virulence in a mouse model of systemic infection; not transcriptionally regulated by NaCl; fungal-specific (no human or murine homolog)	cell morphogenesis||cellular potassium ion homeostasis||metal ion transport||monovalent inorganic cation transport||pathogenesis||potassium ion export across plasma membrane||potassium ion transport||response to salt stress||sodium ion export across plasma membrane||sodium ion transport	integral component of membrane||membrane raft||plasma membrane	cation efflux transmembrane transporter activity||metal ion transmembrane transporter activity||monovalent inorganic cation transmembrane transporter activity||potassium:proton antiporter activity||sodium ion transmembrane transporter activity||sodium:proton antiporter activity
orf6.2062	C4_00050W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_40110, <i>C. parapsilosis CDC317</i> : CPAR2_402300, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_94507 and <i>Debaryomyces hansenii CBS767</i> : DEHA2F05588g	biological_process	cellular_component	molecular_function
orf6.2063	C4_00060W_A		Putative protein of unknown function; Hap43p-repressed gene	glutathione catabolic process	cellular_component	gamma-glutamylcyclotransferase activity
orf6.2065	C4_00070C_A		Ortholog(s) have role in protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	cellular_component	peptidase activity
orf6.2067	C4_00080C_A		Protein of unknown function; Hap43-repressed; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.2069	C4_00090W_A	PHR3	Putative beta-1,3-glucanosyltransferase with similarity to the A. fumigatus GEL family; fungal-specific (no human or murine homolog); possibly an essential gene, disruptants not obtained by UAU1 method	ascospore wall assembly||carbohydrate metabolic process	fungal-type cell wall	1,3-beta-glucanosyltransferase activity
orf6.207	C2_09070C_A		Putative glycerol-3-phosphate acyltransferase; Hog1-repressed	metabolic process	cellular_component	transferase activity, transferring acyl groups
orf6.2070	C4_00100C_A		F-box domain-containing protein; flow model biofilm induced	biological_process	cellular_component	molecular_function
orf6.2071	C6_00820W_A	SUN41	Cell wall glycosidase; role in biofilm formation and cell separation; possibly secreted; hypoxia, hyphal induced; caspofungin repressed; Efg1, Cph1 regulated; O-glycosylated, possible Kex2 substrate; 5'-UTR intron; Spider biofilm induced	adhesion of symbiont to host||cellular response to biotic stimulus||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||fungal-type cell wall organization||pathogenesis||septum digestion after cytokinesis||single-species biofilm formation in or on host organism||single-species biofilm formation on inanimate substrate	cell surface||extracellular region||fungal-type cell wall	glucan endo-1,3-beta-D-glucosidase activity
orf6.2072	C6_00830C_A	CAN3	Predicted amino acid transmembrane transporter; transcript regulated by white-opaque switch; Hap43-repressed gene	transmembrane transport	membrane	molecular_function
orf6.2073	orf19.3640		Predicted ORF from Assembly 19; removed from Assembly 20			
orf6.2074	C2_09640W_A	PMI1	Phosphomannose isomerase; cell wall biosynthesis enzyme; drug target; functional homolog of S. cerevisiae, E. coli phosphomannose isomerase; Gcn4-regulated; induced on adherence to polystyrene, phagocytosis; 3-AT, Spider biofilm repressed	GDP-mannose biosynthetic process||carbohydrate metabolic process||cell wall mannoprotein biosynthetic process||fungal-type cell wall biogenesis||fungal-type cell wall organization||hyphal growth||protein glycosylation	cellular_component	mannose-6-phosphate isomerase activity||zinc ion binding
orf6.2075	C2_09650W_A		Ortholog(s) have poly(A) binding activity, role in mRNA metabolic process and cytoplasm localization	mRNA metabolic process	cytoplasm	nucleotide binding||poly(A) binding
orf6.2076	C2_09660W_A		Putative 66S pre-ribosomal particle component; Hap43-induced; F-12/CO2 early biofilm induced	ribosomal large subunit biogenesis	nucleolus||preribosome, large subunit precursor	molecular_function
orf6.2077	C2_09670C_A		Ortholog(s) have 4 iron, 4 sulfur cluster binding, ATPase activity, role in iron-sulfur cluster assembly, tRNA wobble uridine modification and Nbp35-Cfd1 ATPase complex localization	iron-sulfur cluster assembly||tRNA wobble uridine modification	Nbp35-Cfd1 ATPase complex	4 iron, 4 sulfur cluster binding||ATPase activity
orf6.2078	C2_09680W_A		Ortholog(s) have SNAP receptor activity and role in ER to Golgi vesicle-mediated transport, retrograde vesicle-mediated transport, Golgi to ER, vesicle fusion	endoplasmic reticulum to Golgi vesicle-mediated transport||retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum||vesicle fusion	COPII-coated ER to Golgi transport vesicle||SNARE complex||endoplasmic reticulum membrane||integral component of membrane	SNAP receptor activity
orf6.2080	orf19.1384		Predicted ORF from Assembly 19; merged with orf19.1383 in Assembly 20			
orf6.2081	C2_09690C_A		Protein of unknown function; induced by alpha pheromone in SpiderM medium	biological_process	cellular_component	molecular_function
orf6.2082	C2_09700W_A	YEA4	Putative uridine diphosphate-N-acetylglucosamine (UDP-GlcNAc) transporter; required for cell wall chitin synthesis; induced by alpha pheromone in SpiderM medium	UDP-N-acetylglucosamine transmembrane transport||UDP-glucose transmembrane transport||fungal-type cell wall chitin biosynthetic process	endoplasmic reticulum||integral component of membrane	UDP-N-acetylglucosamine transmembrane transporter activity
orf6.2083	C1_08740C_A	SEC24	Protein with a possible role in ER to Golgi transport; induced upon yeast-hyphal switch; sumoylation target; Spider biofilm repressed	COPII-coated vesicle cargo loading||intracellular protein transport||macroautophagy	COPII vesicle coat||endoplasmic reticulum exit site	signal sequence binding||zinc ion binding
orf6.2084	C1_08750W_A	YMC2	Putative mitochondrial carrier protein; Gcn4-regulated; F-12/ CO2 early biofilm induced; Spider biofilm induced	transmembrane transport	cellular_component	transmembrane transporter activity
orf6.2085	C1_08760W_A		Protein of unknown function; Hap43-repressed	biological_process	cellular_component	molecular_function
orf6.2086	C1_08770W_A		Ornithine cyclodeaminase family protein; Sef1, Sfu1, and Hap43-regulated; ortholog of S. cerevisiae YGL159W and S. pombe SPAP11E10.01; rat catheter biofilm induced	biological_process	cellular_component	molecular_function
orf6.2087	C1_08780W_A		Ortholog(s) have alkaline phosphatase activity, role in nicotinamide nucleotide metabolic process, protein dephosphorylation and extracellular region, fungal-type vacuole membrane localization	nicotinamide nucleotide metabolic process||protein dephosphorylation	extracellular region||fungal-type vacuole membrane	alkaline phosphatase activity
orf6.2088	C1_08790W_A	TPO3	Putative polyamine transporter; MFS-MDR family; induced by Sfu1, regulated upon white-opaque; decreased expression in hyphae vs yeast-form cells; regulated by Nrg1; Spider biofilm repressed	cellular response to drug||drug transport||spermine transport||transmembrane transport	fungal-type vacuole membrane||integral component of membrane||membrane||plasma membrane	drug transmembrane transporter activity||spermine transmembrane transporter activity
orf6.2089	C6_03780C_A		Ortholog(s) have ubiquitin-protein transferase activity, role in SCF-dependent proteasomal ubiquitin-dependent protein catabolic process and SCF ubiquitin ligase complex localization	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	SCF ubiquitin ligase complex	ubiquitin-protein transferase activity
orf6.209	C2_09060C_A	ASN1	Putative asparagine synthetase; soluble protein in hyphae; regulated by Rim101; decreased expression at pH 4 vs pH 8; protein detected during exponential and stationary phases of yeast-form growth	asparagine biosynthetic process	cellular_component	asparagine synthase (glutamine-hydrolyzing) activity
orf6.2090	C6_03770C_A	ORM1	Putative endoplasmic reticulum membrane protein; Hap43p-repressed gene; mutation confers hypersensitivity to aureobasidin A	cellular response to drug||cellular sphingolipid homeostasis||negative regulation of sphingolipid biosynthetic process||response to unfolded protein	SPOTS complex||integral component of membrane	molecular_function
